"","Date","cum_positive","cum_death","cum_testing","cum_recovery","new_positive_people","new_negative_people","cum_Hosp","cum_ICU","People_tested","preval_Hosp","preval_ICU","new_positive","calc_cum_positive_people","calc_cum_negative_people","calc_people"
"1",2020-01-24,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,1,1
"2",2020-01-25,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,1
"3",2020-01-26,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,1
"4",2020-01-27,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,2,2
"5",2020-01-28,NA,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,0,10,10
"6",2020-01-29,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,10,10
"7",2020-01-30,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,0,13,13
"8",2020-01-31,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,13,13
"9",2020-02-01,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,13,13
"10",2020-02-02,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,13,13
"11",2020-02-03,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,0,20,20
"12",2020-02-04,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,20,20
"13",2020-02-05,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,21,21
"14",2020-02-06,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,0,24,24
"15",2020-02-07,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,25,25
"16",2020-02-08,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,25,25
"17",2020-02-09,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,25,25
"18",2020-02-10,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,0,30,30
"19",2020-02-11,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,0,42,42
"20",2020-02-12,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,42,42
"21",2020-02-13,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,0,51,51
"22",2020-02-14,0,0,76,NA,0,28,NA,NA,NA,NA,NA,NA,0,79,79
"23",2020-02-15,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,0,85,85
"24",2020-02-16,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,0,89,89
"25",2020-02-17,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,0,96,96
