Date,N501Y_screen,N501Y,B.1.1.7,B.1.351,P.1,source
2020-01-28,NA,NA,51,0,0,https://files.ontario.ca/moh-covid-19-report-en-2021-01-29.pdf
2020-01-29,NA,NA,57,0,0,https://files.ontario.ca/moh-covid-19-report-en-2021-01-30.pdf
2020-01-30,NA,NA,58,0,0,https://files.ontario.ca/moh-covid-19-report-en-2021-01-31.pdf
2020-01-31,NA,NA,69,0,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-01.pdf
2020-02-01,NA,NA,109,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-02.pdf
2020-02-02,NA,NA,106,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-03.pdf
2020-02-03,NA,NA,152,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-04.pdf
2020-02-04,NA,NA,155,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-05.pdf
2020-02-05,NA,NA,164,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-06.pdf
2020-02-06,NA,NA,174,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-07.pdf
2020-02-07,NA,NA,219,1,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-08.pdf
2020-02-08,NA,NA,227,3,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-09.pdf
2020-02-09,NA,NA,228,3,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-10.pdf
2020-02-10,NA,NA,236,3,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-11.pdf
2020-02-11,NA,NA,275,3,0,https://files.ontario.ca/moh-covid-19-report-en-2021-02-12.pdf
2020-02-12,NA,NA,297,3,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-13.pdf
2020-02-13,NA,NA,303,6,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-14.pdf
2020-02-14,NA,NA,302,7,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-15.pdf
2020-02-15,NA,NA,309,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-16.pdf
2020-02-16,NA,NA,338,6,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-17.pdf
2020-02-17,556,80,348,10,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-18.pdf
2020-02-18,772,89,385,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-19.pdf
2020-02-19,579,60,386,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-20.pdf
2020-02-20,861,164,391,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-21.pdf
2020-02-21,757,150,390,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-22.pdf
2020-02-22,1068,193,390,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-23.pdf
2020-02-23,1124,256,395,9,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-24.pdf
2020-02-24,1124,256,449,11,1,https://files.ontario.ca/moh-covid-19-report-en-2021-02-25.pdf
