"","Date","Province","negative","presumptive_negative","under_investigation","presumptive_positive","confirmed_positive","resolved","deceased","total_testing","Hospitalization","ICU","Ventilator","source","Note","SourceNewTests","SourceTotalTests","SourceNewConfirmations","SourceCumConfirmations","calcTotal","bestTotal","cumConfirmations","newConfirmations","newTests","prop"
"1",2020-02-14,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"2",2020-02-15,"ON",418,0,0,0,2,1,0,421,NA,NA,NA,"WBM",NA,NA,NA,NA,NA,420,421,2,2,421,0.00475059382422803
"3",2020-02-16,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"4",2020-02-17,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"5",2020-02-18,"ON",418,0,0,0,2,1,0,421,NA,NA,NA,"WBM",NA,NA,NA,NA,NA,420,421,2,2,421,0.00475059382422803
"6",2020-02-19,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"7",2020-02-20,"ON",436,0,17,0,2,1,0,456,NA,NA,NA,"WBM",NA,NA,NA,NA,NA,438,456,2,2,456,0.0043859649122807
"8",2020-02-21,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"9",2020-02-22,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"10",2020-02-23,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"11",2020-02-24,"ON",540,NA,9,0,1,3,0,553,NA,NA,NA,"WBM",NA,NA,NA,NA,NA,541,553,1,1,553,0.00180831826401447
"12",2020-02-25,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"13",2020-02-26,"ON",610,NA,14,1,1,3,0,629,NA,NA,NA,"WBM",NA,NA,NA,NA,NA,612,629,1,1,629,0.00158982511923688
"14",2020-02-27,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"15",2020-02-28,"ON",610,NA,14,1,1,3,0,629,NA,NA,NA,"WBM",NA,NA,NA,NA,NA,612,629,1,1,629,0.00158982511923688
"16",2020-02-29,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"17",2020-03-01,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"18",2020-03-02,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"19",2020-03-03,"ON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
